Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
532207,Černuc,810,418,414,"8,69","0,48","0,00","5,55","0,00","5,07","9,66","2,41","1,20","0,96","0,24","0,00","12,07","0,00","0,48","2,41","30,91","0,00","1,20","1,20","0,00","0,72","0,00","0,00","15,21","1,44"
532223,Doksy,1 263,811,806,"16,25","0,24","0,00","4,09","0,24","6,57","7,56","1,73","0,99","2,97","0,00","0,12","13,39","0,00","0,00","5,45","27,54","0,00","0,37","1,73","0,00","0,62","0,24","0,00","9,67","0,12"
513130,Dolany,188,131,129,"12,40","0,00","0,00","6,97","0,00","15,50","4,65","0,77","1,55","0,77","0,00","0,00","10,85","2,32","0,00","7,75","20,93","0,00","0,77","1,55","0,00","2,32","0,00","0,00","9,30","1,55"
512991,Drnek,141,100,100,"13,00","0,00","0,00","4,00","0,00","16,00","15,00","0,00","1,00","1,00","1,00","0,00","7,00","0,00","0,00","2,00","19,00","0,00","0,00","4,00","0,00","0,00","0,00","0,00","17,00","0,00"
532274,Družec,830,564,563,"16,34","0,17","0,17","7,63","0,35","7,46","7,10","0,53","0,71","1,77","0,17","0,00","11,72","0,00","0,00","6,92","27,70","0,00","0,71","1,42","0,00","0,17","0,00","0,00","8,52","0,35"
532282,Dřetovice,366,226,224,"8,48","0,00","0,00","7,14","0,00","3,12","15,17","1,78","0,89","1,78","0,44","0,44","10,71","0,00","0,00","4,01","26,33","0,00","0,44","0,00","0,00","0,44","0,44","0,00","18,30","0,00"
532291,Dřínov,255,140,140,"7,85","0,71","0,71","5,00","0,00","8,57","12,14","0,00","0,00","0,71","0,00","0,00","5,71","0,00","0,00","0,71","39,28","0,00","0,00","2,85","0,00","0,00","0,00","0,71","15,00","0,00"
513075,Hobšovice,282,141,141,"9,92","0,00","0,00","4,96","0,00","3,54","7,80","1,41","0,00","0,70","0,00","0,70","14,18","0,00","0,00","1,41","33,33","0,00","0,70","3,54","0,00","0,70","0,00","2,12","14,89","0,00"
532312,Horní Bezděkov,482,381,381,"20,47","0,00","0,00","4,72","0,00","5,77","8,13","0,52","0,78","0,52","0,00","0,26","15,74","0,00","0,00","6,03","24,93","0,00","0,00","3,93","0,00","0,52","0,00","0,00","7,61","0,00"
532321,Hořešovice,214,144,142,"23,94","0,00","0,00","7,04","0,00","5,63","7,74","0,70","0,00","0,70","0,00","0,00","4,22","0,00","0,00","6,33","38,02","0,00","0,70","0,70","0,00","0,00","0,00","0,00","4,22","0,00"
535150,Hořešovičky,99,60,60,"6,66","0,00","0,00","10,00","0,00","1,66","18,33","0,00","0,00","5,00","0,00","0,00","5,00","0,00","0,00","1,66","33,33","0,00","0,00","1,66","0,00","0,00","0,00","0,00","16,66","0,00"
532339,Hospozín,415,192,191,"9,94","0,52","0,00","5,23","0,00","9,94","16,23","0,52","0,00","2,61","0,00","0,00","6,28","0,00","0,52","2,09","31,41","0,00","0,52","2,09","0,00","0,00","0,00","0,52","11,51","0,00"
532347,Hostouň,915,573,568,"14,96","0,00","0,00","4,92","0,17","6,33","7,04","1,58","0,88","1,40","0,17","0,35","11,97","0,00","0,17","6,86","28,87","0,00","0,35","2,64","0,00","0,88","0,17","0,17","9,68","0,35"
532355,Hradečno,409,264,263,"15,58","0,00","0,00","3,42","0,00","5,70","6,46","0,38","0,38","0,76","0,00","0,00","16,34","0,00","0,00","7,60","31,93","0,00","0,00","2,28","0,00","0,38","0,00","0,38","7,98","0,38"
532363,Hrdlív,392,251,250,"10,40","0,00","0,00","7,20","0,00","3,20","9,20","0,40","1,60","3,20","0,00","0,00","8,80","0,00","0,00","3,60","38,00","0,00","0,40","4,00","0,00","0,40","0,40","0,00","9,20","0,00"
532371,Hřebeč,1 528,979,946,"15,01","0,10","0,10","3,91","0,00","6,87","4,54","0,73","0,52","2,21","0,10","0,10","14,79","0,10","0,00","6,02","33,08","0,00","0,21","1,47","0,10","0,52","0,00","0,21","9,09","0,10"
532398,Chržín,204,124,124,"6,45","0,00","0,00","9,67","0,80","8,87","10,48","2,41","0,00","0,80","0,00","0,00","11,29","0,00","0,80","1,61","33,87","0,00","0,00","0,00","0,00","0,80","0,00","0,80","11,29","0,00"
532401,Jarpice,228,137,137,"8,75","0,00","0,00","3,64","0,72","6,56","20,43","0,72","2,91","0,00","0,00","0,00","9,48","0,00","0,00","3,64","32,11","0,00","0,00","4,37","0,00","0,00","0,00","0,00","6,56","0,00"
532410,Jedomělice,305,203,202,"11,38","0,00","0,00","6,93","0,00","13,86","10,89","0,49","1,48","2,97","0,00","0,00","8,41","0,00","0,49","3,96","23,76","0,00","0,49","0,99","0,00","1,48","0,00","1,48","10,89","0,00"
532428,Jemníky,204,142,142,"15,49","0,00","0,00","3,52","0,00","11,26","10,56","0,70","0,00","0,00","0,00","0,70","11,97","0,00","0,00","4,22","23,94","0,00","0,00","4,92","0,00","0,70","0,00","0,00","11,97","0,00"
532444,Kačice,990,612,612,"11,43","0,00","0,00","6,04","0,00","6,20","10,45","1,14","0,65","1,47","0,32","0,00","12,58","0,16","0,00","2,12","34,15","0,00","0,16","0,49","0,00","0,81","0,00","0,00","11,11","0,65"
532452,Kamenné Žehrovice,1 426,930,923,"11,59","0,21","0,00","6,28","0,10","4,22","10,07","1,30","0,97","1,19","0,10","0,00","12,35","0,10","0,00","4,65","33,26","0,10","0,43","1,08","0,00","0,65","0,54","0,00","10,72","0,00"
513032,Kamenný Most,356,197,196,"12,75","0,00","0,00","4,08","0,00","6,63","16,32","1,53","0,51","1,02","0,00","0,00","10,71","1,02","0,51","3,06","27,55","0,00","0,00","2,04","0,51","0,00","0,51","0,00","10,71","0,51"
532053,Kladno,53 652,29 228,29 034,"11,35","0,16","0,04","6,89","0,14","4,42","8,54","1,49","0,69","2,04","0,05","0,12","11,98","0,04","0,05","5,33","30,48","0,06","0,23","2,28","0,03","0,77","0,13","0,15","12,14","0,27"
532461,Klobuky,822,434,430,"5,58","0,00","0,00","14,41","0,00","3,25","11,86","1,16","0,23","3,02","0,00","0,00","10,46","0,00","0,00","2,32","30,00","0,23","1,16","1,86","0,00","0,00","0,46","0,69","13,02","0,23"
532479,Kmetiněves,228,137,136,"11,76","0,73","0,00","2,94","0,00","6,61","8,82","1,47","2,20","0,73","0,00","0,00","13,97","0,00","0,00","2,94","25,73","0,00","0,00","1,47","0,00","0,00","0,73","0,00","19,11","0,73"
532487,Knovíz,446,276,275,"16,00","0,00","0,00","8,36","0,00","6,54","7,27","1,81","1,09","1,09","0,36","0,36","6,54","0,00","0,00","4,00","26,54","0,00","0,72","1,45","0,00","1,09","0,00","0,00","16,00","0,72"
532495,Koleč,484,270,269,"8,17","0,00","0,00","9,66","0,00","3,71","13,01","2,60","0,00","1,11","0,00","0,00","12,26","0,00","0,00","2,23","29,73","0,37","0,00","1,85","0,00","1,85","0,00","0,37","12,26","0,74"
535109,Královice,173,124,124,"15,32","0,00","0,00","4,03","0,00","4,03","14,51","0,80","0,00","4,83","0,00","0,00","7,25","0,00","0,00","1,61","24,19","0,00","0,00","4,83","0,00","0,80","0,00","0,00","17,74","0,00"
571512,Kutrovice,89,52,52,"7,69","0,00","0,00","11,53","0,00","9,61","15,38","0,00","0,00","5,76","0,00","0,00","19,23","0,00","0,00","1,92","19,23","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9,61","0,00"
532517,Kvílice,63,39,39,"7,69","0,00","0,00","5,12","0,00","0,00","23,07","0,00","0,00","0,00","0,00","0,00","10,25","0,00","0,00","0,00","35,89","0,00","0,00","5,12","0,00","0,00","0,00","0,00","10,25","2,56"
532525,Kyšice,496,338,338,"14,49","0,00","0,00","3,84","0,00","4,73","9,76","0,59","0,29","5,32","0,00","0,00","15,97","0,29","0,29","7,10","25,73","0,00","0,00","1,77","0,00","1,18","0,29","0,00","7,98","0,29"
541991,Lány,1 626,1 046,1 032,"16,27","0,09","0,00","6,68","0,09","6,78","10,36","1,06","1,25","1,74","0,09","0,48","11,53","0,09","0,38","5,71","27,61","0,09","0,00","1,84","0,19","0,77","0,19","0,09","6,20","0,29"
532533,Ledce,380,247,244,"5,73","0,00","0,00","4,50","0,00","9,01","17,21","0,81","1,22","1,63","0,00","0,00","10,24","0,40","0,00","4,09","25,81","0,00","0,00","2,86","0,00","1,22","0,00","0,00","15,16","0,00"
513041,Lhota,495,363,362,"15,19","0,55","0,00","6,35","0,00","4,69","12,70","1,10","0,27","0,27","0,27","0,27","13,25","0,00","0,27","3,86","27,90","0,00","0,55","2,48","0,00","0,55","0,55","0,27","8,28","0,27"
